Fairbanks,78,218
Vancouver,120,270
San Francisco,116,307
Winnipeg,176,267
Ottawa,222,283
Chicago,192,295
New York,225,295
Washington D.C.,219,304
Dallas,166,324
Houston,170,304
Los Angeles,122,319
Miami,206,343
Mexico City,159,360
Panama,203,391
Caracas,231,389
Georgetown,253,397
Bogota,216,407
Quito,207,407
Lima,213,450
Santiago,227,507
Buenos Aires,256,514
Sao Paulo,282,481
Rio de Janeiro,286,463
Cape Town,430,511
Pretoria,452,486
Port Louis,521,469
Kinshasa,423,430
Lagos,396,397
Dakar,351,374
Rabat,372,323
Cairo,455,335
Aden,492,378
Nairobi,472,416
Mombasa,477,424
Addis Ababa,476,389
Dubai,511,348
Kuwait,501,346
Tehran,500,319
Ankara,456,304
Athens,436,307
Rome,416,295
Lisbon,367,307
Paris,391,278
London,384,265
Oslo,409,239
Reykjavik,343,219
Stockholm,422,237
Berlin,413,262
Frankfurt,408,270
Leningrad,451,237
Moscow,460,252
Perm,500,238
Omsk,538,250
Karachi,538,344
Mumbai,553,361
Chennai,570,378
Colombo,572,397
Kolkata,585,355
Lahore,553,326
New Delhi,562,330
Kathmandu,581,337
Dhaka,592,349
Irkutsk,609,263
Beijing,644,305
Shanghai,656,323
Hong Kong,646,351
Manila,665,376
Seoul,670,310
Tokyo,699,317
Bangkok,618,382
Singapore,629,414
Jakarta,634,435
Perth,648,498
Brisbane,733,489
Sydney,725,508
Auckland,776,515
Melbourne,709,522
Wellington,776,531
Christchurch,764,541
